tupi,portugues_pred
"anheté, kó nde rapé, a'e nde remiekara","que eu te arrependa, este é o teu caminho, eu te digo que te arrepende"
"t'aroŷrõngatu anhanga","que não se esqueça de mim"
"opakatu serã sygeapûá-kuîamo i ku'a sorokaba rupi?","Mas será que a mãe-de-alvo vai ficar com a pele sorokaba?"
"xe su'umo marigûi","xe suumo marigûi"
"kó santo o mbo'esara rekopûera erimba'e oîkûatiar îandébo, seîá","Santo Padre e Santo Padre de Santa Cruz"
"ka'a-pa'ũ","grama-do-mar"
"marãpe ereîkó?","em que sentido?"
"nd'e'i te'e abá tekokatu pupé onhemopepóbo o beberama resé","Não disse que qualquer tipo de vida pode ser feita por um cão"
"marãnamope asé îobasabetá-etáûne?","O que é que a população vai fazer?"
"orokûakeó","ele se tornou"
"itá-pesembûera","pedras-pesembruera"
"aîkyty-kytyk mba'e-kagûera pupé","eu tenho um pouco de tudo"
"abá angaîpá-nhemima i kuapare'yma supé mombegûabo","Abá angaipá-nhemima e seu sol é muito distante"
"aîpó îandé ratá gûyra porama, sapypyrama","Eu tenho um bom dia de vida, muito bem"
"aîu ramõ","Eu estava muito cedo"
"ere'upe yby?","Você disse que é uma chuva?"
"itakynhatimana","sua família"
"nde nhyrõ oré angaîpaba resé orébe oré rerekomemûãsara supé oré nhyrõ îabé","Se você não está com o problema de que você não está com o problema de que você não está com o problema de que você está com o problema de que você está com o problema de que você está com o problema de que você está com o problema de que você está com o problema de que você está com o problema de que você está com o problema de que você está com o problema de que você está com o problema de que você está com o problema de que você está com o problema de que você está com o problema de que você está com o problema de que você está com o problema de que você está com"
"serobîasare'yma potyrõû iî ybõîybõmo","Serobínias de sol em terra"
"eresópe abá îeky-'ye'ẽ supa, i pora rá?","Quando você sabe que você tem uma sopa, é melhor?"
"asepyme'eng","Eu dou-lhe"
"xe pé-bur","xe pé-bur"
"opûerab amõnyme, tupã asé rerekokuapaba rupi é","Ele ficou em pé, porque tinha um deus de todo o mundo"
"pe îoupé seîké potá, peîtyk pe angaîpaba","o seu seco bem, abra o erro"
"abá angaîpá-nhemima i kuapare'yma supé mombegûabo","Abá angaipá-nhemima e seu sol é muito distante"
"anhanga nde momburu","te vou amarrar"
"kó bé ingapé-kûatiara","esta bé ingapé-kûatiara"
"kabaru repanakũ","Cavalo de cavalo"
"i mongaraibypyretá oîepegûasu îasûá","A mongaraibyretá está em estado de saúde"
"n'i tyb-angáî setãmbûera opá akûeîme n'i poretáî","Não há nada de bom em sua cabeça"
"moraseîa é i katu, îegûaka, petymbu","Morro é o meu, mas é o meu, é o meu, é o meu"
"mutu'u resé tupã îekosu-berame'ĩ","mutuu resé deus équosu-berame'"
"xe akymaíb","que já tenho"
"yby-'ama","Yby-'ama"
"i moarûapaba t'aîmombe'une","a sua história"
"xe rarõana opoapypyk îandune","Xe rarõana se escondeu em sua sede"
"te'õ suí amanõ","cada vez que eu sou suíço"
"adão, oré rubypy, oré mokanhemeté","Adão, nós somos rubí, nós somos dois"
"e'ikatupe o îoesé omendá?","Você pode ou não quer se casar?"
"atuî","Eu sou um homem"
"anhangamo nhẽ i mondóû tatá ogûeba'erame'yma monhanga","Quando o carro foi atingido por um incêndio, o carro foi atingido por um ladrão"
"ereîpotápe itaîuba?","Quer um pequeno bebé?"
"y robaî","água que se despeja"
"o îesuí i mo'ẽuká asé resé","Jesus deu-lhe um sinal de que ele estava pronto para morrer"
"gûyrá rendaba","local de abertura"
"nõmo nhõ ma'e t'asenõî ndebe","Não sei como te sentir"
"o pytumimbykamo nhẽ nhemongaraibypyre'yma 'anga rekóû","No escuro, o ar está em cima da cama"
"ene'ĩ, temiminõ 'arybo nhẽ oîmombe'u o angaîpá-mirĩ anhõ","""Não é possível que o mundo seja diferente"", disse."
"o îoati'yba ri","ou o seu peixe"
"kûesenhe'ym bé sepîá-potá tenhẽ roîré","Que sejamos todos bem sepá-papos"
"asendu-potakatu","Eu ouvi-o muito"
"apu-apuk","abóbora"
"mba'easybora-te aîekatu i 'uû","""Não há nada que me possa fazer"""
"xe boîáramo pabẽ xe pópe arekó-katu","xe boise pabê em mãos xe tenho-cabe"
"mene'yma resé oîkoba'e oîaby-eté tupã nhe'enga","O que é que é uma grande história"
"aó-tinga onong asé resé","aó-tinga se esvaziou"
"endé konipó ixé","em seu último ano"
"asé sy o membypitanga raûsuba sosé asé raûsume nhẽ","A mãe e a filha da criança ficam em paz"
"oîporarápe mba'e amõ a'epe oîkóbone?","Será que alguém me pergunta se eu vou ficar bem?"
"nde ra'y-pupuka","seu filho-risos"
"xe îara re'õ renõîa","de manhã em frente"
"tupã resé o nheangerekosara","Deus não nos esquece"
"gûaîbĩ moesãîa mbá","A moda é muito mais importante"
"a'e ipó asetobapé-pyténe","eu disse que eu estava de pé"
"kunhã resé oîemoîoîaba'e","amanhã haverá"
"nde moingóbo xe py'ape","você se apaixona pelo seu peito"
"our-eté'ĩ xe ruba mã!","O nosso xe-e-raba está calado!"
"oky-ko'ẽ-ko'ẽ amana, paranã mopungábo","Chov-rocha-vermelha, paranãs de molho"
"anheran i xupé","eu herdaria o meu xupe"
"tĩmbeba","mais jovem"
"mosapyr morubixaba","mosapyr morubixaba"
"t'oma'ẽ îandé resé pitangĩ-moraûsubara","O que é que é o que é o que é o que é o que é o que é o que é o que é o que é o que é o que é o que é o que é o que é o que é o que é o que é o que é o que é o que é o que é o que é o que é o que é o que é o que é o que é o que é o que é o que é o que é o que é o que é o que é o que é o que é o que é o que é o que é o que é o é que é"
"i mendá-mokõîa resé i byk'iré","a minha mãe-do-mar vai para o banheiro"
"aîmonhang serã-serã","Eu vi-o no dia-a-dia"
"oîkobépe amõ abá sekobîaramo?","Ele estava em casa quando eu era criança?"
"pé ku'ape, kunumĩ pu'ama'ubi xe ri","na frente, o povo de Camargo"
"asó-asó-a'ub","assó-assó-a'ub"
"nde porãngatu raûsupa","se a tua beleza está em paz"
"taba roma 'îápe","taba roma no local"
"eîori i mosykyîébo","eu tenho um sorriso"
"i momanõmbyra","seu filho"
"akó xe îubykarûera","que o xeibykarúr"
"a'epe kunumĩgûasu kunhã oîmomosemba'e, miaûsuba potá nhẽ?","Eu disse que a minha mãe não me deu nada, por isso não me disse que não me deu nada."
"ké turi îandé nupãmo!","Que você não se apaixone!"
"nde-te ereberá i xosé, oré resapébo pá nde rekokatu pupé","você vai dizer que eu sei, nós agradecemos que você pode cozinhar"
"nde 'ekatu kó 'ara moapysyki","seu 'equiqui' esta 'ra está em pé"
"kûab-apûan","quab-apúan"
"abaré koîpó amõ abá pyri morerokarûera nd'e'ikatuî omendá gûemierokûera resé","Agora, quando a mãe de um jovem morero não consegue casar com um jovem, ela não pode voltar a casar."
"arasó-ukar","peão-de-açúcar"
"pé rupi","por causa disso"
"îarybobõ omonguî, ygara kuabĩ potá","A água é de água doce, a água é de sol"
"emonãnamope tupã îandé rubypy arukanga nhẽ apóû semirekóramo?","Não aceitará que Deus tenha o direito de fazer o que é necessário para que o seu filho seja um homem?"
"sory pakatu apŷaba","chuva poderosa"
"okûabépe irã so'o?","onde é que está a carne?"
"ta pe putu'ẽngatuté irã pe îemokane'õ ré","Ta o pequeno-almoço é o nome do pequeno-almoço"
"eîkuabe'eng xe nhe'engaipaba","Equipes de transporte de veículos não estão em condições de chegar"
"tekokatu angagûara tupã sy-angaturama","natureza de Deus-mãe"
"mba'e o emimborará-tyba supé og osange'ymamo","O que vai fazer se a supé se despejar"
"itá gûyrype","em cima da rocha"
"atumbé-tumbek","atumbé-tumbek"
"akûé tabusu îerusalém 'îaba","""Não há nada de errado com o que eu faço""."
"xe rembiara rembyrûera arurĩ reîá supé","Relógio de xe rembiara em dia de manhã"
"aopotukasara","eu purificarei"
"aîta'y-me'eng pedro","eu sou filho de pedro"
"o eîmbaba îagûara resé oîepyka, abá n'oîmomba'e'uî","Todos estão em cadeiras, mas não há nada a ver"
"muru rokysyma îandé ratá poraká","Muuru já está em risco de ser atingido"
"xe mba'easy-potar îá","é doença-potar"
"xe pinim","xe pinim"
"apŷabebé remi'u","por um pouco de comida"
"a'ereme amõ aîukáne","Eu quero que eu grite"
"kapi'i anhẽ rerupa","queimando o rerupa"
"t'aîtyk pá koty","despejar o quarto"
"té oureté kybõ reriûasu mã!","É um pouco mais do que um pouco mais do que um pouco mais!"
"kó xe rekóû nde reká","Esta estrada é para você"
"oporomoingobébo rame'ĩ, na supi ruã-te","Ele não se esqueceu de dormir"
"îudeos ekomonhangábo, i 'apira mondoki","Íudeos ekomonhangábo, 'apira roboki'"
"ereîamotare'ymype nde rapixara, serok-y -bé-kybémo?","Você pode me dizer o que fazer com o seu rapixara, serok-y -bé-kybémo?"
"páscoa îabi'õ tupãrara","pascua em honra a Deus"
"nd'oîabyî muru arara","sem muros de ar"
"yba ting","Yba ting"
"kó xe ypy","Esta é a primeira vez"
"îandé kanhem'iré, tupã amõ kunhãngatu monhangi","em canhemé, deus da religião monangue"
"a'e ipó asetobapé-pyténe","eu disse que eu estava de pé"
"oroîopynekûab","O rio é um rio"
"ybakype tupã i moeté-katu resé o ma'enduaramo","No céu deus i Moeté-pode ler ou ouvir"
"oú-mo'ang pe mondyîa","a luz da luz"
"abá-nhe'engixûera","abá-nheengixûera"
"ahẽ morapitîarûera taté nhẽ anhẽ ybŷá oîuká","Eu vou ao funeral de um incêndio"
"oîepegûasu t'îaîkó","A situação é muito difícil"
"aîmẽ","Eu estou"
"îandé moetébo apŷaba nhemosaraî","""Não é preciso ser um homem de má qualidade."
"ybytu îabé osunung, i abaeté suí osyîa","Ibaiú é um dos mais importantes do mundo"
"xe îurubok","xe îurubok"
"aîababixûer","Eu tenho bico"
"kunhã-angaturama ababykagûere'yma","A mãe de um homem é um homem de idade avançada."
"t'oroîtyk oré poxy, paîé rerobîare'yma","Toroityk é muito divertido, mas não é nada"
"xe run","é correr"
"xe rembegûasu - eu tenho beiço grande mba'e-embegûasu!","O que é que é um grande negócio!"
"u'uba mongûá-potá","uubá mongüá-ota"
"aîatapygûasu","a minha família"
"xe kunumĩ-era","xe kumĩ-era"
"tupã nhe'enga asé mbo'esaba","Deus não nos deixa ensinar"
"kó amoaé","Eu fiz isso"
"moraseîa é i katu, îegûaka, îemoúna","Morro é o meu, mas, é o meu, é o meu"
"i 'ã i 'ang xe retãme xe rekoagûera ixébo","O país é um país de turismo"
"marãpe asé rekóû karukeme, o ker-y îanondé?","Como é que a vida de um homem é uma espécie de carvalho, ou é que ele está com uma pele fria?"
"a'epe a'e kunhã n'onherani i momarana?","Eu disse que ele não vai dar mais nada?"
"ndaroîaî mamõ xe sóû","Não tem mamão xe só"
"ebapó o soagûera suí tupã espírito santo mbouri","Eu sou o deus do espírito santo"
"nd'e'i te'e yby asé purungaba tiruã aîpoba'e re'õmbûera reroŷrõmo","Não disse que a chuva não iria dar cabo de tudo"
"oré py'a-pyk","temos pés-de-cabeça"
"îandûara","é um dia"
"peẽ aé-te peîeapirõ","se vocês forem juntos"
"oobapybo aîub","abasteceu-se de um"
"i nhyrõ ipó kori ixébene","meu nariz no chão"
"oré 'anga t'oîosu, sekopoxy mosasãîa","""Praça de Deus é grande, é grande, é grande, é grande, é grande, é grande, é grande, é grande, é grande, é grande, é grande, é grande, é grande, é grande, é grande, é grande, é grande, é grande, é grande, é grande, é grande, é grande, é grande, é grande, é grande, é grande, é grande, é grande, é grande, é grande, é grande, é grande, é grande, é grande, é grande, é grande, é grande, é grande, é grande, é grande,"
"maratekoara aé-amẽ ahẽ?","A minha viagem de notícias foi-me embora?"
"abá momanhã-manhana","abá molhão-manhana"
"îori anhanga mondyîa, ta xe momoxy umẽ","Éori anhanga mondyîa, ta xe momoxy umê"
"nd'oronhoamotari","não se olha"
"n'oîmogûabi o nhemoŷrõ, n'i nhyrõî","Se não fosse ou não fosse, não seria"
"xe katu","mas"
"anhẽ ûĩ!","Eu estou gritando!"
"erepo'ẽpe nde rapixara rapupé resé?","Você quer saber o que é o seu rapixara?"
"na ixé ruã asó","na ixé de ruã"
"ara rupi","por volta do dia"
"ereîkópe abá-mendare'yma resé?","Você vai dizer o que é que eu disse?"
"sasy tekopoxy, tekomemûã pe'a biã, aûîeté a'e roîré abá apysykaturamo","doença social, saúde social, saúde social, saúde social"
"aîpó oîoupé 'é abé, o îara repypûera reîtyki tupãokype","""Sou um abelo, ou é uma noite de solto, você está no altar"""
"oîmombe'u o angaîpá-mirĩ anhõ tubixabeté oseîá, abaré suí i mima","O presidente da República, José Manuel Barros, disse que o problema é que o governo não tem condições de fazer nada."
"xe 'a!","é 'a!"
"tekokatueté pé pe gûasemagûama resé","natureza do gûmasâmagûma"
"aygá-pukuî","Aí é o meu lugar"
"xe rybyt, nde nhyrõ xebo","xe rybyt, seu nhyrõ xebo"
"kuîa nhẽ i tĩ-ngá-tĩ-ngábo, ereîanga'o abá","A pele é de um tipo de pele-de-cabeça, é uma imagem de abá"
"e'u umẽ ikó 'ybá xe rekoate'ỹmbaba","comer o que é ""dificuldade de beber xe"""
"erobak oré koty nde resá-poraûsubara","roubar o quarto para o seu retorno"
"i moxyryrykypyra","minha irmã"
"xe cristão, xe karaí","são cristão, são caraí"
"xe apysakûaraby moranduba","xe de saúde moranduba"
"tupã karaibebé mbouri são josé mosaûsuba pupé i momorandupa","Deus do Senhor dos Anéis São José mosaûsuba pupé"
"setapokãba'e","ação"
"marã serã ture'ymi?","Será que será um pouco?"
"sesé nde nhemomotaragûera ranhẽ t'ereîmombe'u","Sesé sua nhemomotaragüera antes de você contar"
"îori xe moîekosupa, nde rekokatu me'enga","É onde vai o xe, a sua alimentação é a sua medida"
"t'aroŷrõ tekomemûã","se não perder a vida"
"a'epe kunumĩgûasu kunhã oîmomosemba'e?","Perguntei se a cidade de São Paulo está bem?"
"xe renõî umẽ îepé i xupé, na xe îukáî!","Se você não está com a cabeça, não está com a cabeça!"
"-abápe nde? -saraûaîa, aîuruîubupîarûera","- Onde estás? - Bom dia, eu estou com você"
"tupã ta'yra o sy suí i 'ar'iré îudeus i 'apira mondoki","Filho de Deus ou mãe suíça i 'arirê îudeus i 'apira roboki"
"sugûy turusu ybype osyryka","sugúy na margem do turusu foge"
"îeîbeté","é um pouco"
"aîpepó-'ok","eu estou em 'ok'"
"asó gûarinĩramo","como um gavião"
"o emimotarybo épe erimba'e i nheme'engi og upîarama pé onherane'yma?","O emimotarybo é que você disse que ele não tinha nada a ver com a sua mãe?"
"tatá nde arõeté, i pupé t'ereîesy","fogo como teu, seu pão é de cor"
"okaî oúpa o ekobé rerekóbo","fugiram ou foram para o seu lugar"
"xe rendy","que brilha"
"aîuká me'ĩmo mã!","Eu estava muito calado!"
"pyteri","Píter"
"opá o boîá nde pópe i mongûapa","vai o booba em suas mãos seu monge"
"n'omoetéî o monhangara","não se vai roubar"
"o îoaîuri aîmoín","ele foi morto"
"a'eba'e o'ar maria abá bykagûere'yma suí","Eu disse que comeu maria abá bykagûre minha suí"
"xe pinĩ-pinim","xe piní-pinim"
"angaingaibora","engraçada"
"abá 'anga mara'ara i pupé opûeîrá-katu","Abá 'anga mara'ara e seu pão vai parar-se"
"tapuîa rara","raras chuvas"
"andyrá-'aba","e-mail:"
"aîá pá îekuakuba","Eu vou para a sua casa"
"-emonãnamope asé îeruréû santos-etá supé? -emonãnamo","-Não conseguimos pedir aos santos que nos ajudem? -Se conseguimos"
"tupã tekomonhangaba i abŷaramo ra'e","Deus é o homem de sempre"
"îamongûá moxy ru'uba, i xupé îaîemoîtỹamo","que se mexa a moxy ruuba, se o xupé não se mexa"
"opakatu sasyeteba'e i arybeba'erame'yma porarábo","Mas a doença não foi tão grande quanto o de um homem que estava com idade avançada."
"xe irũ ã re'a","é amigo de uma criança"
"asepy-sepyk","Agradeço-te"
"na abá o aûsubar-y îanondé ruã, na abá o pysyrõ îanondé ruãne","Não há nada que me leve ao chão, não há nada que me leve ao chão"
"asó morapépe","em azul"
"aîkobé, n'aîepe'aî i xuí","Eu estava, não tinha nenhum juí"
"nd'e'i te'e mba'e amõ resé i moîekosupara tupã nhe'enga abŷabo","Não me diz nada sobre quem é o deus de todos os tempos"
"te'õ ereîporará","se você quiser"
"marandé ipó ahẽ rekóû nhandu","mensagem de sua vida"
"seroŷrõmo opakatu ikó 'ara pupé seroŷrõmbyra sosé","Serrinho toda a noite 'ara pupé serrinho tudo quieto"
"xe pyta'ã-ta'am","xe-tão-tão"
"eroîyb ahẽ supé","Eu vou para o sopé"
"nd'e'i te'e mba'e-katu resé oîekosube'yma","Não diz nada sobre o que pode ser um sublimão"
"osykyîé nde suí anhanga, nde moabaetébo","se derrubasse o teu suí anhanga, tu é que te abasteces"
"itamina pupé iî yké kutuki","Itamina pupé ao lado de kutuku"
"amanõ-aíb","quando eu estava"
"na typyî","não me engano"
"xe rãîtatak","para que ela seja"
"aîá pá îekuakuba","Eu vou para a sua casa"
"xe posaká, xe ratã","xe posaká, xe ratã"
"tubixá-katu aîmbiré","tubixá-katu em torno"
"eîepe'a!","Abre!"
"ererobîarype paîé îekaraimonhanga?","O rei foi o que ele fez?"
"ygasápe kaûĩ-tuîa, a'e ré, îamomotá","No mar, o bosque-ouro, eu digo o nome, eu digo"
"opyk amana","parou de me despedir"
"nde poxype nde remirekó asykûereté amõ resé koîpó i mũ-mbyryba?","em seu poxo com sua esposa, que eu vou dizer para você, que é que ele está tão longe?"
"îandé manhana ranhẽ t'osó îandé renondé","A manhã cheia de pragas"
"sapó-rema","sapó-rema"
"a'eîbépe ybŷá cruz mo'ami i atykábo?","Eu sei onde está a cruz para o meu corpo?"
"xe apŷab","em um lugar"
"okaî oupa aûîeramanhẽ o îurupe nhote aîpó o 'eagûera repyramo","Fugiu quando eu estava a ir para o outro lado do mundo"
"ty-apogûasu","carvalho"
"ereîkuakupe nde angaîpaba amõ abaré suí, senotĩamo nhẽ?","Você poderia ter cometido algum erro em um abere suí, se fosse santo?"
"opá i îeakypûereroîebyri, o atukupé pyterybo o'á ybype","desceu de sua iluminação, ou desceu de um pyterybo para a praia"
"morotĩngatu nde 'anga, aoba i potukapyra rame'ĩ","branco de tua 'anga, eu amo seu belo sol'"
"xe ybypiar","xe ebypiar"
"i abaeté muru supé são sebastião ru'uba, são lourenço pyri bé","Eu abetei muru supé São sebastião ru'uba, São lourenço pyri bé"
"nde nhy'ã nde i moatãnhẽe'ỹme","seu olhar em seu braço sem"
"akûeîme aîkotebẽ, xe rekopoxy purûabo","Em uma noite de descanso, o xe de reposição é puro"
"nhandu'i-kesaba","nhanduí-kesaba"
"îarekópe mosanga amõ îandé pûerasabamo?","Tenho algum problema com o que é que eu posso fazer?"
"marãpe asé rerokara asé rerekóû?","Em que ano você tem um carro de banho?"
"ybyku'i-una","joelhos-una"
"xe pysyrõ îepé!","É muito bom!"
"te'inhẽ oupa","que o que vem"
"a'emo îandé resé i atarimo","Eu sei que você está com uma grande paixão"
"seby-sebykĩ ixébo","septicínio septicínio"
"mbobype sepy?","em que boca?"
"xe pu'amagûera","xe potamagûera"
"pindá posyîtaba","Ponta da Porte"
"omanõba'epûera suí sekobé-îebyri","Morreu na sequência de um ataque suíço"
"apytá","Eu fiquei"
"mba'epe asé osenõî i xupé, o îerobîasabamo?","Em que é que ele se mete no seu suporte, ou se ele se torne um servo?"
"ogûatá îepé serã i îybá mokõîa itapygûá soarama resé?","Será que seria bom ter duas pessoas que não se sentem bem?"
"xe aó-mondé-matueté","xe aó-mundo-multitude"
"ne'ĩ t'îamongetá îandé rekasara ri","Não se preocupe com o que vai acontecer"
"îeperibe'ĩ asé marã i 'éû onhemoŷrõ ymûan","""Sobre a vida de um homem que não tem a vida de um homem que não tem a vida de um homem que não tem a vida de um homem que não tem a vida de um homem que não tem a vida de um homem que não tem a vida de um homem que não tem a vida de um homem que não tem a vida de um homem que não tem a vida de um homem que não tem a vida de um homem que não tem a vida de um homem que não tem a vida de um homem que não tem a vida de um homem que não tem a vida de um homem que não tem a vida de"
"aîukámo mã!","Eu vou ficar calado!"
"abá mba'e mombuka","Eu não tenho nada que me engane"
"peîuká","você está"
"t'a'u kori i îybapûera","comer kori e peixe"
"sekoaûîépe gûaîtaká koîpó gûaîanã ra'yra?","O filho do homem que está no seu couro?"
"aîuruîuba mokaba ogûeru tenhẽ","A mocaba de alho de alho de alho de alho de alho de alho de alho de alho de alho de alho de alho de alho de alho de alho de alho de alho de alho de alho de alho de alho de alho de alho de alho de alho de alho de alho de alho de alho de alho de alho de alho de alho de alho de alho de alho de alho de alho de alho de alho de alho de al"
"emoîerekûab orébo","nos deixem em paz"
"xe moanhẽ kó xe boîá","xe mecar esse xe boîá"
"t'asóne, gûy!","Vai ser, meu!"
"oú tubixá-katu","veio tubixá-katu"
"sé","sim"
"i potá nhote, sesé opokoka abé","é bom que não, é bom que não"
"a'emo oîubyk-uká?","Eu estou muito triste?"
"anhanga supé tupã asé mopyatãgûama resé","imagem de Deus na sua terra"
"tubixabeté","tubixabeté"
"opá og ugûy me'engi","toda a água chegou"
"saembé","todos os dias"
"seroapy'ambaba","Seroba ainda"
"o nhemombe'ue'yma mopa'ũ-muku potare'yma","O meu amigo não me contava de um pouco de mal"
"xe rapixara","xe rapixara"
"xe nhemoŷrõndûer","que não se esmorecem"
"sereroĩmbyra abá-mondá apŷabaíba rekoaba é","Sereroimburu é a cultura mais popular do mundo"
"ybyrá-pesembûera","marítima-pesemburu"
"xe pytang","xe vermelho"
"naînanĩ temiminõ o erumûana mombó","Não tem nada a ver com os jovens"
"xe apatynã","em uma carapaça"
"ogûetepûera pupé oîkŷabo, i mopu'ama kûeîeténe","Apesar de ser um pão sem ser, ele vai ser um pão muito grande"
"a'eîbé pilatos supé oîerekûabamo","não tenho pilatos supé se houver"
"marã e'ipe iîypy?","O que é que você está fazendo?"
"mba'epe onong i akanga 'arybo?","Em que se põe o águia?"
"îoapixaba","irão apicar"
"moroaûsubara 'yba","morousubara 'yba"
"oré re'yî","nós somos"
"mba'e-py'aûpîara kaûĩaîasy resé i monani","O que é que é que é o que é que é que é que é que é que é que é que é que é que é que é que é que é que é que é que é que é que é que é que é que é que é que é que é que é que é que é que é que é que é que é que é que é que é que é que é que é que é que é que é que é que é que é que é que é que é que é que é que é que é que é que é que é que é que é que é que é que é que é"
"adão, oré rubypy","adão, nós somos rubí"
"angaîpaba maniîabo mã!","Que maniabe silencioso!"
"i xy aé ipó opîá o akangaobĩ pupé","O meu corpo está com um pouco de luz"
"a'e, rakó, i angaîpá","eu disse, que era mau, que era mau"
"o'ar 'yaíba ixébo","O 'yaíba ixébo"
"o angaîpaba, tupã nhe'enga abŷagûera reroŷrõmo","O erro é que Deus não nos dá a oportunidade de nos livrarmos"
"marãba'e kunhãpe santa maria?","A festa da santa maria?"
"xe rekoruînhẽ","na estrada"
"n'i îáî pirá sembiara","sem dinheiro sem sembiara"
"xe nhe'engetá","xe não engendra"
"ybaka aé tupã îandé resé i nhemosako'îaba, îandé mba'ekaturama nongatûaba re'a","Deus não quer que você se preocupe, não quer que você se preocupe"
"oroîekok nde resé","Ele gritou em seu rosto"
"amõ taba rapekóbo","onde é que se faz tabaco"
"kó xe 'anga, nde rusaba, nde rupabamo t'oîkó","Esta é a imagem, a tua ruba, se a tua cama estiver fechada"
"""osó ipó"" a'ea'ub niã ixé","""só seu"" aea'ub ou ia ixé"
"erimba'epe aîpó nde 'îaba ereîmopóne?","Eu disse-lhe que eu tinha que 'algum que você diria?"
"esatapy nde remimõîa","que me pergunte a sua mãe"
"myatã ogûeru","O rosto se aproxima"
"kanga putu'uma","cachorro"
"a'ar apyrĩ - estou prestes a cair our apyrĩ - está já para vir asó apyri'ĩ","aar verão - estou prestes a cair nosso verão - está já para virar meu coração"
"aín-apẽ","aín-apé"
"xe ropá-ropar","de estrada"
"abá mondarõ osepîakĩba'e","abá robarão continuou a correr"
"aîero'ar","Eu estava lá"
"xe kûar ymûan","xe de quir antigo"
"mbo'yrysy","aulas"
"t'oîapysaká a'ereme marã o 'anga moingó-katuagûama resé","""Não me esqueço de fazer uma foto de um homem que não é um homem"""
"xe atuaî turi","por ter sido um dos maiores"
"eresem ymã putunusu suí","eresem antigo putunusu suí"
"aîeatyká","Eu vou ficar"
"- îarekó é rakó mba'e-katu i poxyba'e suí i mouruébo","- tenho que ser um homem que não pode ser o seu pai"
"na nde ruã-te-pakó kunhã ri ereîemomotá?","Não é que você vai se mover amanhã?"
"ixé nde sosé","é sua silêncio"
"akûeî tabusu îerusalém 'îaba pora mombebaûama kuapa nhẽ aîpó i 'éû","O tabuço em Jerusalém 'é melhor que o tabuço em Jerusalém'"
"o ati'yba ri kurusá osupi","o peixe ri cruce sobe"
"emonãnamope asé îeruréû santos-etá supé?","Não aceitará que os santos sejam supê?"
"nde poxy ûĩ!","seu bom humor!"
"aîusã-moín","eu sou-me-não-eu"
"mosanga mûeîrabyîara","mosanga mueirãbiara"
"aîapixosok","eu estava piscando"
"endé-te, nde resemõ arinhama, taîasu","indo-te, quando te disserem, aringama, taíasu"
"a'ereme bé","Eu quero"
"xe nem","é nem"
"oîposanong, i nambi atõîa nhote, aûnhenhẽ i monga'ẽmo, i moîepotá","Há pessoas que não querem saber, não querem saber, não querem saber, não querem saber"
"ebokûea rupi","por causa da ebokûea"
"xe resaraî é gûitekóbo, n'aseîá-potá ruã!","O que é que você está fazendo, é que você está fazendo!"
"t'amoberab tupã robá-pytuna xe 'anga supé","tamooberab deus robá-pytuna xe 'anga supé"
"oubé rakó abá mba'e mundépe oína biã","O mundo está em branco"
"te'itenheumẽ mba'e amõ nde motekokuabe'yma","""Tentei o que eu disse para a sua empresa"""
"i mokunhãmbyra","seus dois filhos"
"gûyrá pepekeme","Se você estiver bem"
"xe ruba rekobîara é re'ĩ","Xe ruba é o que você quer"
"eîori sa'anga t'oîpuru tekó-poxy","imagens de pessoas que são poxy"
"eresópe abá îeky-'ye'ẽ supa, i pora rá?","Quando você sabe que você tem uma sopa, é melhor?"
"t'oré pyatã, angá","tóré pyatã, péã"
"aanumẽne! asabeypó","naumene! na minha manhã"
"nde apysy-katu ko'yté pytunusu nde 'anga moingotebẽsagûera suí nde sem'iré","seu estômago-quase no escuro de manhã seu 'mão que se dá ao seu filho"
"y-pytera koty asó","Sala de banho de aeronaves"
"tupãmongetá pupé","igreja pupé"
"abá-ekotenhẽ ixé","abá-quotenê ixé"
"na nde arõî nde puká","não te quero"
"îasy mba'e i 'upyra","""Sou muito triste com a minha vida"""
"ikatupe nde moĩndara","pode ser que você não"
"aûîé kunumĩgûasu o ekó-aíbeté oîomim","A primeira vez que o povo se torna um povo, o primeiro é que o povo é um povo."
"marãpe sekoagûera peẽ i mbo'aragûama?","em que mar é que vocês estão a aprender?"
"eîori oré retama 'ara rupi nhẽ, i xupa","Eori tem retama 'para dia', e xupa"
"xe remimbo'epûera","alunos do Xe"
"abá-angaîpabĩ takó mba'e-katu ogûerekó xe suí mã!","O que é que é que é que é que é que é que é que é que é que é que é que é que é que é que é que é que é que é que é que é que é que é que é que é que é que é que é que é que é que é que é que é que é que é que é que é que é que é que é que é que é que é que é que é que é que é que é que é que é que é que é que é que é que é que é que é que é que é que é que é que é que é que"
"aîmoaku'i","Eu estava com medo"
"apŷaba sogûabo pá","eu estava com o meu pai"
"seteba'e","sete de setembro"
"t'osó-pá xe mara'ara kûepe xe 'anga suí","toso-pa xe mara mara mara mara marae em xe 'anga suí"
"serapûanyba'e","noites de manhã"
"okakar xe sorama","caminhar por sorama"
"xe rakamby","xe rakamby"
"sokyra","filho de"
"amõ 'yba gûemityma pyterype o'amba'e kuabe'enga","""A minha vida está em pé de ar"""
"na mboby nhõ ruã akaîu-'aîubane aûîeramanhẽ-te","Na mboby nhó ruá acaiu-'aibane eu apenas cheguei"
