portugues,tupi_pred
"Estou sendo um tanto arrogante","xe apé xe apé"
"tão logo indo ele","i îaîmoîaî"
"As juntas de seus ossos afastando umas das outras","i abá-pykûara îaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîa"
"Eis que sobre o capim ele está deitado, no lugar de comer da vaca","aîpe'a-pe oîaîba'e, i mo'y'a mo'ẽpópe"
"Aparei as pontas deles","aîe'îaîaîaîaîa"
"Tomaste-o depois de comer ou depois de engolir alguma coisa?","ereîmoîîpe'ûaîpe'ûaîpe'ûaîpe'ûaîpe'ûaîpe'ûaîpe'ûaîpe'ûaîpe'ûaîpe'ûaîpe'ûaîpe'ûaîpe'ûaîpe'ûaîpe'ûaîpe'ûaîpe'ûaîpe'ûaîpe'ûaîpe'ûaîpe'ûaîpe'ûaîpe'ûaîpe'ûaîpe"
"Por que minha mãe me deu à luz outrora?","xe sy xe moîa-pe xe moîa-pe?"
"Por isso mesmo os homens erigem-te em dirigente deles","i'anga-pe îe'anga nde resé nde resé"
"Vem para lavar minha alma, branqueando-a","oîe'o xe îaîba, xe îaîba"
"O rosto da criança está alegre para eles","ybyby'a rory i îe'anga"
"Retribuí o que ele escreveu","aîe'îaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîa"
"Filho verdadeiro de Deus é, de fato, esse homem","tupã ra'y resé, kó tekó"
"Ele nunca acaba de completar as roupas Nd'e'i ymûanĩ osóbo - Nunca acaba ele de ir","nd'e'i ymûanĩ osóbo - nd'e'i i'oîba'e"
"A fala de fulano repreendeu-me","xe-yûaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaî"
"Receando por suas almas","i îepy'a-py"
"Minha coragem ainda existe","xe py'aîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîa"
"o que é circuncidado, o que tem o prepúcio cortado","i îaî'anga, i îaîanga"
"Eu tenho estatura elevada","xe apé-pyrá"
"São muitos os não conhecidos que Deus somente, o criador deles, conhece","i'aîba'e i'aîba'e'i tupã, i mongó, îandé"
"Descansa Não é muito forte o maíra","i'aîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaî"
"moço que aprende, moço aprendiz","t'îaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîa"
"Levaram-no para um certo palácio, fazendo-o entrar consigo","oîe'õ-pe oîe'õ-pe, oîe'õ-pe"
"Pois se levas cães, se estiverem eles ao lado um do outro da sua própria raça, acolhem-se um pouco mais","oîe'õmby, îaîe'õmby, îaîe'õmby, îaîe'õmby, îaîe'õmby"
"Essa fez assim","aîe'anga"
"Mostrando-o aos judeus","aîe'oûûûûûûûûûûûûûûûûûûûûûûûûûûûûûûûûûûûûûûûûûûûûûûûûûûûûûûûûûûûûûûûûûûûûûûûûûûûûûûûûûûûûûûûûûûûûûûûûûûûûûûûûûûûûûûûûûûûûûûûûû"
"Minha pele tem titinga","xe rusu-pûaî"
"Não houve sangue em teu parto","nde rekó-py nde rekó-py nde rekó"
"Eis aqui minha grande muçurana","xe mo'yûûûara"
"Ele é fundo","i îe'y"
"Não foi à toa","n'eîaîaîaî"
"Observei-o","aîe'i"
"Faço-a soar","aîe'õ"
"Contaste a maledicência de alguém, sendo mexeriqueiro?","ereîmoîasá nde rekó-kûaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaî"
"O oposto da avareza é a liberalidade","abá-py'aîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîa"
"Espremi o sumo dela","aîe'oîa"
"Eia, roga por nossa virtude!","eîa, îaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîa"
"Eu tenho palavras de rufião","xe rîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîa"
"Foi meu pai também","xe ru îe'îa"
"Retirei as amarras dele","aîmoîîaîaîaîaîa"
"a sela dele","i apé"
"comer um ao outro","oîmoîa"
"No terceiro dia","araîpyrûa"
"Que o mates para mim diante do pajé ruim","xe-pyré îaîba'e'ype xe py'a-py'a"
"Somente com Ele os olhos dos homens se satisfazem no céu","i'anga-py îaîpópe îandé resé oîaîba"
"Acalmei-me","xe xe apytá"
"Estou a latejar","xe apé"
"A vida de minha alma, que eu perdi, fará devolver a mim","xe îaîba resé, xe îaîba'e, xe moîasé"
"Sua muita bondade engrandecendo","i abá i porandûera"
"Na verdade, hei de enfeitar-me , pintando-me de preto","xe apé xe apé, xe apé xe apé"
"não há de ser","n'îîîîîîîîîîîîîîîîîîîîîîîîîîîîîîîîîîîîîîîîîîîîîîîîîîîîîîîîîîîîîîîîîîîîîîîîîîîîîîîîîîîîîîîîîîîîîîîîîîîîîîîîîîîîîîîîîîîîîîîîîîîî"
"Que lancemos fora nossa maldade","t'oîmoîaîaîaîaîaîaîa"
"suas coisas comuns","i mba'e-pyranga"
"Algum diabão espião sempre me ameaça","xe-pûaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaî"
"Eu quero presas nas pessoas de alguns bêbados","xe rekó-pûaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaî"
"Ele passou defronte de Nhoesembé","oîe'i nhoesembé"
"Fazendo as pessoas beberem cauim ou dando-lhes de beber","aîe'oîaîbaîbaîbaîbaîbaîbaîbaîbaîbaîbaîbaîbaîbaîbaîbaîbaîbaîbaîbaîbaîbaîbaîbaîbaîbaîbaîbaîbaîbaîbaîbaîbaîbaîbaîbaîbaîbaîbaîbaîbaîbaîbaîbaîbaîbaîbaîbaîbaîbaîbaîbaîbaîbaîbaîbaîbaîbaîbaîbaî"
"Depois disso, finalmente, volta-se em direção a eles, falando muito terrivelmente","a'e-pe, îaîpó, îaîpópe, i moîasé-moîasé"
"Tu te permitiste cobri-la, sendo tua parenta?","nde resé nde reré nde reré nde resé nde resé?"
"Embelezando-te totalmente","nde resé"
"Estraguei-a","aîmoîaî"
"Vem, ó meu senhorzinho, para que esteja muito feliz minha alma por causa do teu nascimento","eîe, xe moîasé, xe îaîba îeîasé nde rekó resé nde rekó"
"Coisa enlameada, porco!","mba'e-pyranga, poraka!"
"Na verdade, não são conhecedores das coisas","n'i mba'e-pûaîara"
"Aquele padre que te batiza dá uma vela na tua mão","nde resé nde resé nde resé nde pópe îaîba"
"Como disse aos seus três discípulos após sua entrada no horto?","mba'e-pi'a i mbo'e'ypype îaîpe oîmoîaîpe?"
"Por que tu me abandonaste, ó meu senhor?","xe moîaîpe îeîmoîasé, xe rué?"
"Minha alma fez feder a vida pecaminosa","xe îaîba îaîmoîaîba resé"
"Tu te alegraste por alguém estragá-las?","nde rereko'aîbaîba îe'anga?"
"Que eles gritem, chorando!","aîe'anga, aîe'anga!"
"Aceitei dinheiro de Pedro","aîpyrûera pedró"
"Apartei-os","aîmoîaî"
"como isto, como este","kó-kûa"
"Enruguei-me","aîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaî"
"Fazendo levar imediatamente para o céu os que resgataram bem seus pecados ainda neste mundo","aîe'oîa-ype o'anga-ype oîaîa-boîa-boîa-boîa-boîa-boîa-boîa-boîa-boîa-boîa-boîa-boîa-boîa-boîa-boîa-boîa-boîa-boîa-boîa-boîa-boîa-boîa-boîa-boîa-boîa-boîa-boîa-"
"Delato gente","aîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaî"
"Mas são eles os que mandam fazer cauim","aîe'õ-pe îaîo oîaîmoîa"
"Meu ex-marido há de ser, certamente","xe eré îaîbaîbaîbaîbaîbaîbaîbaîbaîbaîbaîbaîbaîbaîbaîbaîbaîbaîbaîbaîbaîbaîbaîbaîbaîbaîbaîbaîbaîbaîbaîbaîbaîbaîbaîbaîbaîbaîbaîbaîbaîbaîbaîbaîbaîbaîbaîbaîbaîbaîbaîbaîbaîbaîbaîbaîbaîbaîbaîbaîbaî"
"Que desapareça vossa lei antiga","peîpe'aîpe'a nde rembyre"
"Vou beber cauim!","aîe'õ ka'î!"
"Arranca de minha casa a poeira dos pés","xe rokó-py xe py-pyrá"
"Queimareis em conjunto","peîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaî"
"E o que evoca a Deus pelo que não é verdade, que acontece?","tupã-pûaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîa"
"Sobre quê será nossa conversa?","mba'e-pe îaîmoîasé?"
"Será que a noite toda ages para fazer sumir as galinhas?","aîe'ypy-pype îaîe'ypy-py'aîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîa"
"Não havia nada antes de Deus fazer o mundo?","n'i'ĩmo'ã-pe tupã oîapó-pe'anga?"
"para além de Lisboa","lisboa-pe"
"tempo de rogar a Deus pelas almas","tupã-py îaîmoîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîa"
"Vem para nos guiar","oîe'i-pe"
"Que se compadeçam dele os judeus","i'eûûûûûûûûûûûûûûûûûûûûûûûûûûûûûûûûûûûûûûûûûûûûûûûûûûûûûûûûûûûûûûûûûûûûûûûûûûûûûûûûûûûûûûûûûûûûûûûûûûûûûûûûûûûûûûûûûûûûûûûûûûû"
"Ah, que bom seria se Deus me levasse!","aîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaî"
"Tendo medo, farias bem","i îandé, nde resé"
"Talvez seja o anjo, guardião verdadeiro desta aldeia","aîe'i îanga, ko'ẽ ybyba'e moîasé"
"o que é azul, o que é verde, o que é roxo","i îaîba, i îaîba, i îaîba"
"o que é sem mistura, puro, de uma só espécie","i'anga'e'ỹ, i'anga'e'anga, i'anga'e'anga"
"Reconciliei-os um com o outro","aîmoîasó-asó"
"reflexo ou resplendor do mar","yby resé"
"guardião dos tapuias","tupuias-pûa"
"Nós, ao contrário, havemos de ir ao encontro da nossa pátria","îandé, îandé îandé îandé îandé îandé"
"Ah, nossos avós muito quiseram verdadeiros substitutos seus para nós","îe'y, îandé îandé îandé îandé îandé îandé îandé"
"Ah, oxalá futuramente eu seja um pouquinho melhor!","aîe, xe rekó-aîe xe xe porandé!"
"Mas procedendo de que modo se está como amigo do diabo?","aîpe'aîpe îaîmo'anga-gûeraîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaî"
"Seu senhorzinho reconhecendo imediatamente","i sybykûera îandé îeré"
"Eu tenho palavras afáveis","xe nhe'ẽ i apé"
"Apenas não me matou","xe-îîîîîîîîîîîîîîîîîîîîîîîîîîîîîîîîîîîîîîîîîîîîîîîîîîîîîîîîîîîîîîîîîîîîîîîîîîîîîîîîîîîîîîîîîîîîîîîîîîîîîîîîîîîîîîîîîîîîîîîîîîîî"
"Faço-o ficar com firmeza","aîe'îaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîa"
"Não desobedecem nem um pouco os que moram no céu à vontade de Deus?","n'oîmoîasé-moîasé îaîmoîa-pe îaîmoîa-pe îaîmoîa-pe?"
"prato côncavo, prato fundo","yby'a"
"Trago muitos","aîe'õî"
"Esses homens são os que portam riquezas para nós","ko'y-y-y-y-y-y-y-y-y-y-y-y-y-y-y-y-y-y-y-y-y-y-y-y-y-y-y-y-y-y-y-y-y-y-y-y-y-y-y-y-y-y-y-y-y-y-y-y-y-y-y-y-y-y-y-y-y-y-y-y-y-y-"
"Sigo-lhe o rastro","aîe'îaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîa"
"Catorze são aquelas coisas em que creremos","irundy-te'i i îeré îeré"
"Basta! Eu estou muito contente","xe xe rereko'a"
"o que é aumentado, multiplicado, etc","i'aîasé, i'aîasé"
"Aí são muitas as mulheres que se estão oferecendo para Deus","i'anga-katu tupã-pe îandé"
"Sou muito mocho","xe moîa"
"Eh! Onde ele está?","aî! mo'e?"
"São Pedro puxou a espada","san pedro oîaîa"
"o que a onça matou, o morto pela onça","o o'ype'aîbaîbaîbaîbaîbaîbaîbaîbaîbaîbaîbaîbaîbaîbaîbaîbaîbaîbaîbaîbaîbaîbaîbaîbaîbaîbaîbaîbaîbaîbaîbaîbaîbaîbaîbaîbaîbaîbaîbaîbaîbaîbaîbaîbaîbaîbaîbaîbaîbaîbaîbaîbaîbaîbaîbaîbaîbaîbaîbaî"
"Transtorno o coração das velhas, irritando-as, fazendo-as brigar","aîoîe'oîaîba'e, îaîe'oîba'e'e'e'e'e'e'e'e'e'e'e'e'e'e"
"Eles se consolam muitíssimo","oîe'îaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîa"
"Quem me dera eu o fizesse estar deitado comigo assim!","xe apó îandé xe moîasé xe moîasé!"
"Eu sou sábio","xe xe xe xe porand"
"Caem às vezes os frutos de suas árvores, sendo ainda flores, outras vezes caem em seu estado verde","i yby'a-py'a i yby'a-py'a-py'a-py'a-py'a-py'a-py'a-py'a-py'a-py'a-py'a-py'a-py'a-py'a-py'a-py'a-py'a-py'a-py'a-py'a-py'a-py'a-py'a-py'a-py'a-py'a-py'a-py'a-py'a"
"vencedora","iîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaî"
"Querendo abertos os buracos das orelhas da gente","oîaîasé oîasé oîasé"
"Hei de cumprir tuas palavras","nde nhe'ẽ-py'aîaîaîaîaîaîaîaîa"
"indo eu voando","xe xe xe xe xe xe xe"
"Eis que somente ele tem coisas boas, em vez de mim!","xe-pûaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaî"
"o que está no pote","i potá"
"na parte de dentro da embarcação","ybype"
"Pegou-se fortemente sua roupa com que ele foi castigado por o ficarem ferindo?","i apé-pykûa i apé-pykûa i îaî-pykûa-pykûa-pykûa?"
"Onde ele mora?","mo'e'îpe?"
"Viram somente muitas chamas de fogo, parecidas com nossas línguas","i'e'õ-te'õ i'aîba'e, i îaîba'e"
"Vinde, levai os malditos","eîe, xe moîaîaîa"
"Tremo, ambas as minhas coxas adormeceram","xe apé, xe mokóî îaîba îaîba"
"banco redondo","yby'a"
"Eu tenho diarréia","xe xe yké"
"Bebem muito todos","opa'e îe'õ"
"A gente o faz ir em busca de padre também?","t'oîmoîasûa-moîasûa-moîasûa?"
"Defequei","aîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaî"
"A boa crença em Deus de teu coração não se desprendeu","nde py'a-py nde tupã-py nde resé nde resé"
"Por isso mesmo é que, em seus corações ficando a refletir, desafiam muito a Deus","kó-pe, i abé-pe îaîpópe, îaîpópe îaîpópe îaîpópe îaîpópe"
"Como estas são vossas casas? -Diferem muito","a'epe nde róba? -oîeîaîaîaîaîaîaîaîa"
"Amarram-lhe as mãos fortemente, fazendo-lhe mal","i apyká-pyká"
"Tendo-lhe amor","aîmoîasé"
"Meu quinhão és tu!","xe kûaîe nde!"
"o que está doente","i îandé"
"Desvirginaste alguma menina?","ereîmoîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaî"
"meu avô Jaguaruna","xe yké jagûûûûana"
"Como o saberão?","mba'epe îe'ẽ?"
"Com eles não se misturando, não querendo, igualmente, seu modo de ser","n'aîmoîasûûûaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaî"
"Enchendo o mar, levantando-o bem acima do cume das montanhas","y-aîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaî"
"água sem mistura","y-y"
"Que coisas, pois, hoje eu fiz?","mba'e-pype, xe xe xe rekó?"
"Eu sou elegante nas palavras","xe xe nhe'ẽ-py"
"braço de rio","yby"
"Torrei-o","aîmoîaî"
"Verdadeiramente, eis aqui teu caminho, o que tu procuras","xe-tûaî, kópe nde rapé, nde rapé"
"Que deteste muito o diabo","nde îaîmoîasé îaîba"
"Por acaso ele teve seu intestino caído totalmente pelo lugar em que se rasgou sua cintura?","i'anga-pykûa-pykûa-pykûa-pykûa-pykûa-pykûa-pykûa-pykûa-pykûa-pykûa-pykûa-pykûa-pykûa-pykûa-pykûa-pykûa-pykûa-pykûa-pykûa-pykûa-pykûa-pykûa-pykûa-pykûa-pyk"
"Picar-me-ia o marigui","xe maráîba"
"Esse santo a vida de seu mestre escreveu para nós, deixando-a","t'angaîarîa îandé îandé îandé îandé, îandé"
"ilha de mato em meio a um descampado, CAPÃO","ka'y-py'a-py'a, ka'y-py'a"
"Que fazes?","mba'e reîpe?"
"Por isso mesmo o homem, com a virtude, dá asas a si para voar","t'e'õ-t'e'õ îeré, tekó-t'e'õ, îeré îeré îeré"
"Por que a gente se persignará muitas e muitas vezes?","mba'epópe îandé îandé îandé îandé?"
"Passamos uns atrás dos outros","aîmoîîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîa"
"cacos de pedra","yby'a"
"Fiquei-o esfregando com coisa gordurosa","aîmoîîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîa"
"Contando as maldades escondidas de alguém para quem não as conhece","oîe'îaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîa"
"Aqueles serão os futuros habitantes do fundo do nosso fogo, os que serão queimados","a'e'y-tûaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaî"
"Vim ainda agora","aîe'i"
"Comeste terra?","ereîmoîa?"
"pedra de amolar que gira, pedra de barbeiro","amó-aîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîa"
"Perdoa tu nossas maldades a nós como nós perdoamos aos que nos tratam mal","nde resé îandé îandé îandé îandé îandé îandé îandé îandé îandé îandé îandé îandé îandé îandé îandé îandé îandé îandé îandé îandé îandé îandé îandé îandé îandé îandé îandé îandé îandé îandé îandé îandé îandé îandé îandé îandé îandé îandé îandé îandé îandé"
"Os que não acreditavam nele trabalharam em conjunto, ficando a flechá-lo","o îeré-gûeraîba îeré îeré îeré, îeré îeré"
"Foste para revistar os covos de água doce de alguém, tomando seu conteúdo?","nde rerekoîaîba'e resé resé resé resé resé resé resé resé resé resé resé resé resé?"
"Paguei-o","aîmoîaî"
"Eu tenho casca erguida","xe xe rûaîaîaîaîaîa"
"Cura-se algumas vezes, segundo os desígnios de Deus para a gente","aîe'oîasé, tupã i apópe"
"Querendo que ele entre para junto de vós mesmos, lançai fora vossas maldades","peîpe'aîpe'aîpe'aîpe'aîpe'aîpe'aîpe'aîpe'aîpe'aîpe'aîpe'aîpe"
"Contando os pecados escondidos de alguém para quem não os conhece","aîe'îaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîa"
"O diabo te detesta","nde-gûeraîa"
"Eis aqui também a ingapema pintada","aîe'e'e'e'e'e'e'e'e'e'e'e'e'e'e'e'e'e'e'e'e'e'e"
"a sela do cavalo","ka'a yké"
"Os cristãos como uma unidade","kiristã-kûara"
"Não existem mais absolutamente suas antigas terras Todas, há tempos, não contêm muita coisa","n'iîmoîîîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaî"
"A dança é que é boa, enfeitar-se, fumar","aîe'oîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaî"
"Deus parece obter o descanso","tupã i'angaîaîaîaî"
"Eu estou úmido","xe xe xe moîa"
"terra levantada","ybyby"
"Hei de contar os modos de impedi-los","aîe'îaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîa"
"Meus guardiães opor-se-ão a vós, como de costume","xe moîba'epe îe'angape, xe xe moîba'e"
"Morro de morte natural","i'angaîa"
"Adão, nosso primeiro pai, fez-nos perder verdadeiramente","adã, îandé, îandé, îandé îandé"
"Podem casar-se um com o outro?","oîe'îaîbape?"
"Regurgitei","aîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaî"
"Mandou-os como diabos para fazer o fogo que não se apagará","aîmoîasá îaîmoîa-pe îaîmoîa-pe îaîmoîa îaîmoîa"
"Queres ouro?","ereîmoîa?"
"além do rio","yby-pyrû"
"Fazendo-o derramar de si mesmo por nós","aîe'îa-pe îandé îandé"
"poleiro das aves","ybyby"
"Somente até aqui hei de nomear coisas para ti","aîe'ypy nde reré îe'ypy"
"Muito escura é a alma do que não é batizado","i pytûaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîa"
"Eia, os temiminós de dia confessam seus pecadilhos somente","eîa, ára-pyranga-pyranga îaîmoîa i apîara"
"sobre os ombros de duas pessoas, de um e do outro ombro","mokó-pykûa-pykûa-pykûa"
"Depois de querer vê-lo, em vão, desde muito tempo atrás","aîe'îaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîa"
"Folgo muito em ouvi-lo","aîe'îaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîa"
"Estou tendo polução","xe apîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîa"
